,restaurant_name,Category,Address,Phone_number,rating,price,noise_level,Distance_from_94114,Distance_from_94501,Distance_from_94607,Distance_from_94707
189,Boulevard, American, 1 Mission St. San Francisco, (415) 543-6084, 3    , 3    , 3    ,4.363,12.806,8.167,4.363
190,Bourbon Steak, American, 335 Powell Street San Francisco, (415) 397-3003, 4    , 3    , 4    ,2.74,13.261,8.622,2.74
191,Chenery Park, American, 683 Chenery St. San Francisco, (415) 337-8537, 2    , 3    , 3    ,2.2769999999999997,18.211,13.572000000000001,2.2769999999999997
192,Chow , American, 215 Church St. San Francisco, (415) 552-2469, 1    , 3    , 3    ,0.91,14.962,10.323,0.91
193,Commonwealth, American, 2224 Mission St. San Francisco, (415) 355-1500, 2    , 3    , 5    ,1.133,15.026,10.387,1.133
194,Frances, American, 3870 17th St. San Francisco, (415) 621-3870, 3    , 3    , 5    ,0.51,15.402000000000001,10.763,0.51
195,Marlowe, American, 330 Townsend St. San Francisco, (415) 974-5599, 3    , 3    , 5    ,3.091,13.06,8.421,3.091
196,Nopalito, Mexican, 306 Broderick St. San Francisco, (415) 437-0303, 2    , 3    , 3    ,1.197,15.527000000000001,10.888,1.197
197,Park Chow, American, 1240 Ninth Ave. San Francisco, (415) 665-9912, 1    , 3    , 3    ,2.278,17.313,12.674000000000001,2.278
198,Park Tavern, American, 1652 Stockton St. San Francisco, (415) 989-7300, 3    , 3    , 4    ,4.058,14.515999999999998,9.877,4.058
199,Range, American, 842 Valencia St. San Francisco, (415) 282-8283, 4    , 3    , 4    ,1.1340000000000001,15.277999999999999,10.639000000000001,1.1340000000000001
200,St. Vincent, American, 1270 Valencia St. San Francisco, (415) 285-1200, 3    , 3    , 4    ,1.595,15.739,11.1,1.595
201,The Cavalier, American, 360 Jessie St. San Francisco, (415) 321-6000, 3    , 3    , 5    ,2.613,13.241,8.602,2.613
202,Tosca Cafe, American, 242 Columbus Ave. San Francisco, (415) 986-9651, 4    , 3    , 4    ,4.163,13.784,9.145,4.163
203,Town Hall, American, 342 Howard St. San Francisco, (415) 908-3900, 4    , 3    , 5    ,3.971,12.419,7.78,3.971
204,Trick Dog, American, 3010 20th St. San Francisco, (415) 471-2999, 1    , 3    , 5    ,1.757,14.293,9.654,1.757
205,Trou Normand, American, 140 New Montgomery St. San Francisco, (415) 975-0976, 3    , 3    , 5    ,3.7110000000000003,12.61,7.971,3.7110000000000003
206,Wayfare Tavern, American, 558 Sacramento St. San Francisco, (415) 772-9060, 3    , 3    , 4    ,3.275,12.97,8.331,3.275
207,1300 on Fillmore, American, 1300 Fillmore San Francisco, (415) 771-7100, 4    , 2.5  , 3    ,1.9880000000000002,15.585999999999999,10.947000000000001,1.9880000000000002
208,Baker & Banker, American, 1701 Octavia St. San Francisco, (415) 351-2500, 4    , 2.5  , 4    ,2.498,14.097999999999999,9.459,2.498
209,Bar Agricole, American, 355 11th St. San Francisco, (415) 355-9400, 4    , 2.5  , 4    ,2.093,13.702,9.062999999999999,2.093
210,Bar Jules, American, 609 Hayes St. San Francisco, (415) 621-5482, 4    , 2.5  , 4    ,1.5519999999999998,14.932,10.293,1.5519999999999998
211,Circa, American, 2001 Chestnut St. San Francisco, (415) 351-0175, 2    , 2.5  , 4    ,3.3160000000000003,15.755999999999998,11.117,3.3160000000000003
212,Comstock Saloon, American, 155 Columbus Ave. San Francisco, (415) 617-0071, 3    , 2.5  , 5    ,3.475,13.171,8.532,3.475
213,Corner Store, American, 5 Masonic Avenue San Francisco, (415) 359-1800, 2    , 2.5  , 4    ,2.217,16.548,11.909,2.217
214,Ella's, American, 500 Presidio Ave. San Francisco, (415) 441-5669, 2    , 2.5  , 2    ,2.488,16.956,12.317,2.488
215,Fable, American, 558 Castro St. San Francisco, (415) 590-2404, 3    , 2.5  , 3    ,0.174,15.602,10.963,0.174
216,Farmer Brown, American, 25 Mason St. San Francisco, (415) 409-3276, 3    , 2.5  , 4    ,2.375,13.402000000000001,8.763,2.375
217,Firefly, American, 4288 24th St. San Francisco, (415) 821-7652, 3    , 2.5  , 3    ,0.768,16.422,11.783,0.768
218,Fog City, American, 1300 Battery St. San Francisco, (415) 982-2000, 3    , 2.5  , 4    ,3.965,13.775,9.136000000000001,3.965
219,Hard Water, American, Pier 3 on the Embarcadero San Francisco, (415) 392-3021, 3    , 2.5  , 5    ,1.92,14.23,9.591000000000001,1.92
220,Hog & Rocks, American, 3431 19th St. San Francisco, (415) 550-8627, 2    , 2.5  , 5    ,1.2429999999999999,15.135,10.495999999999999,1.2429999999999999
221,Kate's Kitchen, American, 471 Haight St. San Francisco, (415) 626-3984, 1    , 2.5  , 3    ,1.37,14.908,10.269,1.37
222,Lark Creek Steak, American, 845 Market St. San Francisco, (415) 593-4100, 4    , 2.5  , 3    ,2.5069999999999997,13.222000000000001,8.583,2.5069999999999997
223,Luna Park, American, 694 Valencia St. San Francisco, (415) 553-8584, 2    , 2.5  , 3    ,0.9790000000000001,15.113,10.474,0.9790000000000001
224,Maverick, American, 3316 17th St. San Francisco, (415) 863-3061, 3    , 2.5  , 4    ,1.181,14.901,10.262,1.181
225,Olea , American, 1494 California St. San Francisco, (415) 202-8521, 2    , 2.5  , 2    ,2.8139999999999996,13.765,9.126,2.8139999999999996
226,Oola Restaurant & Bar, American, 860 Folsom St. San Francisco, (415) 995-2061, 3    , 2.5  , 3    ,3.3489999999999998,12.757,8.118,3.3489999999999998
227,Outerlands, American, 4001 Judah Street San Francisco, (415) 661-6140, 3    , 2.5  , 5    ,4.238,19.631,14.992,4.238
228,Plow , American, 1299 18th St. San Francisco, (415) 821-7569, 2    , 2.5  , 2    ,2.8789999999999996,14.14,9.501,2.8789999999999996
229,PlumpJack's Balboa Cafe, American, 3199 Fillmore St. San Francisco, (415) 921-3944, 2    , 2.5  , 5    ,3.2030000000000003,15.879000000000001,11.24,3.2030000000000003
230,Public House, American, 24 Willie Mays Plaza San Francisco, (415) 644-0240, 2    , 2.5  , 5    ,4.004,12.614,7.975,4.004
231,RN74 , American, 301 Mission St. San Francisco, (415) 543-7474, 4    , 2.5  , 4    ,3.3489999999999998,12.583,7.944,3.3489999999999998
232,Salt House, American, 545 Mission St. San Francisco, (415) 543-8900, 4    , 2.5  , 4    ,3.1460000000000004,12.517999999999999,7.879,3.1460000000000004
233,Sam's Grill, American, 374 Bush St. San Francisco, (415) 421-0594, 3    , 2.5  , 3    ,3.117,12.812000000000001,8.173,3.117
234,Stones Throw, American, 1896 Hyde St. San Francisco, (415) 674-4343, 4    , 2.5  , 4    ,3.262,14.162,9.523,3.262
235,Supperclub, American, 657 Harrison St. San Francisco, (415) 348-0900, 4    , 2.5  , 4    ,3.363,12.306,7.667000000000001,3.363
236,Sutro's at the Cliff House, American, 1090 Point Lobos San Francisco, (415) 386-3330, 4    , 2.5  , 3    ,1.92,14.23,9.591000000000001,1.92
237,Tadich Grill, American, 240 California St. San Francisco, (415) 391-1849, 2    , 2.5  , 5    ,3.281,12.745,8.106,3.281
238,TBD  , American, 1077 Mission St. San Francisco, (415) 431-1826, 3    , 2.5  , 5    ,2.248,13.487,8.847999999999999,2.248
239,The Blue Plate, American, 3218 Mission St. San Francisco, (415) 282-6777, 3    , 2.5  , 4    ,1.774,16.07,11.431,1.774
240,The Rotunda, American, 150 Stockton St. San Francisco, (415) 362-4777, 3    , 2.5  , 3    ,2.8080000000000003,13.373,8.734,2.8080000000000003
241,Tipsy Pig, American, 2231 Chestnut St. San Francisco, (415) 292-2300, 2    , 2.5  , 5    ,3.1260000000000003,15.946,11.307,3.1260000000000003
242,Universal Cafe, American, 2814 19th St. San Francisco, (415) 821-4608, 3    , 2.5  , 5    ,1.692,14.177,9.538,1.692
243,Waterfront Restaurant and Cafe, American, Pier 7 on the Embarcadero San Francisco, (415) 391-2696, 3    , 2.5  , 4    ,1.92,14.23,9.591000000000001,1.92
244,Woodward's Garden, American, 1700 Mission St. San Francisco, (415) 621-7122, 3    , 2.5  , 4    ,1.6480000000000001,14.216,9.577,1.6480000000000001
245,1760 , American, 1760 Polk St. San Francisco, (415) 359-1212, 3    , 2    , 5    ,2.883,14.022,9.383,2.883
246,21st Amendment Brewery Cafe, American, 563 Second St. San Francisco, (415) 369-0900, 2    , 2    , 5    ,3.655,12.265,7.626,3.655
247,Bar Crudo, American, 655 Divisadero St. San Francisco, (415) 409-0679, 2    , 2    , 4    ,1.2690000000000001,15.599,10.96,1.2690000000000001
248,Blue , American, 2337 Market St. San Francisco, (415) 863-2583, 1    , 2    , 5    ,0.672,15.329,10.69,0.672
249,BlueJay Cafe, American, 919 Divisadero St. San Francisco, (415) 447-6066, 1    , 2    , 2    ,1.454,15.784,11.145,1.454
250,Bluestem Brasserie, American, 1 Yerba Buena Lane San Francisco, (415) 547-1111, 3    , 2    , 4    ,2.665,13.003,8.363999999999999,2.665
251,Brazen Head, American, 3166 Buchanan St. San Francisco, (415) 921-7600, 2    , 2    , 5    ,3.3739999999999997,15.708,11.069,3.3739999999999997
252,Burritt Room + Tavern, American, 417 Stockton St. San Francisco, (415) 400-0561, 4    , 2    , 4    ,2.963,13.154000000000002,8.515,2.963
253,Candybar, American, 1335 Fulton St. San Francisco, (415) 673-7078, 3    , 2    , 3    ,1.399,15.729000000000001,11.09,1.399
254,Citizen's Band, American, 1198 Folsom St. San Francisco, (415) 556-4901, 3    , 2    , 4    ,2.256,13.462,8.823,2.256
255,Fly  , American, 762 Divisadero St. San Francisco, (415) 931-4359, 1    , 2    , 5    ,1.409,15.73,11.091,1.409
256,Garaje, American, 475 Third St. San Francisco, (415) 644-0838, 1    , 2    , 5    ,3.38,12.455,7.816,3.38
257,Heirloom Cafe, American, 2500 Folsom St. San Francisco, (415) 821-2500, 3    , 2    , 3    ,1.6780000000000002,14.616,9.977,1.6780000000000002
258,Herbivore, American, 531 Divisadero St. San Francisco, (415) 885-7133, 1    , 2    , 3    ,1.188,15.517999999999999,10.879000000000001,1.188
259,3Hillstone (formerly Houston's), American, 1800 Montgomery St. San Francisco, (415) 392-9280, 3    , 2    , 3    ,5.477,13.92,9.281,5.477
260,House of Prime Rib, American, 1906 Van Ness San Francisco, (415) 885-4605, 3    , 2    , 3    ,2.935,14.845999999999998,10.207,2.935
261,Ironside, American, 680A Second St. San Francisco, (415) 896-1127, 3    , 2    , 4    ,3.801,12.411,7.772,3.801
262,asper's Corner Tap, American, 401 Taylor St. San Francisco, (415) 775-7979, 2    , 2    , 4    ,2.688,13.533,8.894,2.688
263,Joanie's Happy Days Diner, American, 1329 Columbus Ave. San Francisco, (415) 928-4343, 1    , 2    , 2    ,4.085,14.690999999999999,10.052,4.085
264,Magnolia Gastropub & Brewery, American, 1398 Haight St. San Francisco, (415) 864-7468, 2    , 2    , 5    ,1.429,15.76,11.120999999999999,1.429
265,Mason Pacific, American, 1358 Mason Street San Francisco, (415) 374-7185, 3    , 2    , 3    ,3.55,13.96,9.321,3.55
266,Maxfield's, American, 2 New Montgomery St. San Francisco, (415) 546-5089, 2    , 2    , 3    ,3.8789999999999996,12.765999999999998,8.127,3.8789999999999996
267,Miller's East Coast West Delicatessen, American, 1725 Polk St. San Francisco, (415) 563-3542, 2    , 2    , 1    ,2.861,13.999,9.36,2.861
268,Monk's Kettle, American, 3141 16th St. San Francisco, (415) 865-9523, 2    , 2    , 5    ,1.1420000000000001,14.953,10.314,1.1420000000000001
269,Nob Hill Grille, American, 969 Hyde St. San Francisco, (415) 474-5985, 2    , 2    , 1    ,2.699,13.6,8.961,2.699
270,Palace, American, 3047 Mission Street San Francisco, (415) 666-5218, 2    , 2    , 3    ,1.696,15.878,11.239,1.696
271,2Paragon Restaurant & Bar, American, 701 Second St. San Francisco, (415) 537-9020, 2    , 2    , 3    ,3.823,12.433,7.794,3.823
272,Park Chalet, American, 1000 Great Hwy. San Francisco, (415) 386-8439, 2    , 2    , 4    ,5.51,19.843,15.204,5.51
273,Perry's on the Embarcadero, American, 155 Steuart St. San Francisco, (415) 495-6500, 2    , 2    , 4    ,4.314,12.757,8.118,4.314
274,Presidio Social Club, American, 563 Ruger St. San Francisco, (415) 885-1888, 3    , 2    , 4    ,3.283,16.57,11.931,3.283
275,Morton's the Steakhouse, American, 400 Post St. San Francisco, (415) 986-5830, 3    , 1    , 5    ,2.802,13.17,8.531,2.802
276,Globe, American, 290 Pacific San Francisco, (415) 391-4132, 2    , 1    , 4    ,3.569,13.033,8.394,3.569
277,Boudin at the Wharf, American, 160 Jefferson St. San Francisco, (415) 928-1849, 3    , 1    , 2    ,4.3660000000000005,14.642999999999999,10.004,4.3660000000000005
278,Washington Square Bar & Grill, American, 1707 Powell St. San Francisco, (415) 433-1188, 3    , 1.5  , 4    ,3.926,13.593,8.954,3.926
279,Per Diem, American, 43 Sutter St. San Francisco, (415) 989-0300, 3    , 1.5  , 5    ,3.032,12.912,8.273,3.032
280,'Wichcraft, American, 868 Mission St. San Francisco, (415) 593-3895, 1    , 1.5  , 3    ,2.616,13.324000000000002,8.685,2.616
281,Woodhouse Fish Company, American, 2073 Market St. San Francisco, (415) 437-2722, 2    , 2    , 1    ,0.872,14.91,10.270999999999999,0.872
282,Beach Chalet, American, 1000 Great Hwy. San Francisco, (415) 386-8439, 1    , 1.5  , 3    ,5.51,19.843,15.204,5.51
283,Q    , American, 225 Clement St. San Francisco, (415) 752-2298, 2    , 2    , 4    ,3.1519999999999997,17.480999999999998,12.842,3.1519999999999997
284,Rick's Restaurant & Bar, American, 1940 Taraval St. San Francisco, (415) 731-8900, 2    , 2    , 3    ,3.819,21.884,17.245,3.819
285,Sauce, American, 131 Gough St. San Francisco, (415) 252-1369, 2    , 2    , 3    ,1.469,14.802999999999999,10.164,1.469
286,Sea Breeze Cafe, American, 3940 Judah St. San Francisco, (415) 242-6022, 2    , 2    , 3    ,4.212,19.604,14.965,4.212
287,Seaglass, American, Pier 15 San Francisco, (415) 528-4444, 2    , 2    , 4    ,4.448,14.727,10.088,4.448
288,Sears Fine Foods, American, 439 Powell St. San Francisco, (415) 986-0700, 2    , 2    , 3    ,2.8089999999999997,13.192,8.552999999999999,2.8089999999999997
289,Serpentine, American, 2495 Third St. San Francisco, (415) 252-2000, 3    , 2    , 4    ,3.4760000000000004,13.966,9.327,3.4760000000000004
290,Solstice, American, 2801 California San Francisco, (415) 359-1222, 2    , 2    , 5    ,2.141,16.471,11.832,2.141
291,St. Francis Fountain, American, 2801 24th St. San Francisco, (415) 826-4200, 1    , 2    , 4    ,2.31,14.715,10.076,2.31
292,The Bell Tower, American, 1900 Polk St. San Francisco, (415) 567-9596, 2    , 2    , 3    ,2.969,14.700999999999999,10.062000000000001,2.969
293,Mamacita, Mexican, 2317 Chestnut St. San Francisco, (415) 346-8494, 2    , 3    , 5    ,3.045,16.027,11.388,3.045
294,Nopalito, Mexican, 306 Broderick St. San Francisco, (415) 437-0303, 2    , 3    , 3    ,1.197,15.527000000000001,10.888,1.197
295,Nopalito, Mexican, 1224 Ninth Avenue San Francisco, (415) 233-9966, 2    , 3    , 3    ,2.2569999999999997,17.292,12.652999999999999,2.2569999999999997
296,Padrecito, Mexican, 901 Cole St. San Francisco, (415) 742-5505, 2    , 3    , 5    ,1.28,16.314,11.675,1.28
297,Don Pisto's, Mexican, 510 Union St. San Francisco, (415) 395-0939, 2    , 2.5  , 4    ,4.082,14.630999999999998,9.992,4.082
298,La Taqueria, Mexican, 2889 Mission St. San Francisco, (415) 285-7117, 1    , 2.5  , 3    ,1.8430000000000002,15.735,11.095999999999998,1.8430000000000002
299,La Urbana, Mexican, 661 Divisadero St. San Francisco, (415) 440-4500, 3    , 2.5  , 5    ,1.288,15.618,10.979000000000001,1.288
300,Sabrosa Restaurant, Mexican, 3200 Fillmore St. San Francisco, (415) 638-6500, 3    , 2.5  , 5    ,3.2030000000000003,15.879000000000001,11.24,3.2030000000000003
301,Tacolicious (Mission), Mexican, 741 Valencia St. San Francisco, (415) 626-1344, 2    , 2.5  , 3    ,1.0190000000000001,15.163,10.524000000000001,1.0190000000000001
302,Chilango, Mexican, 235 Church St. San Francisco, (415) 552-5700, 2    , 2    , 2    ,0.9159999999999999,14.967,10.328,0.9159999999999999
303,Colibri Mexican Bistro, Mexican, 438 Geary St. San Francisco, (415) 440-2737, 2    , 2    , 4    ,2.679,13.524000000000001,8.885,2.679
304,Garaje, Mexican, 475 Third St. San Francisco, (415) 644-0838, 1    , 2    , 5    ,3.38,12.455,7.816,3.38
305,Mexico DF, Mexican, 139 Steuart St. San Francisco, (415) 808-1048, 2    , 2    , 4    ,4.323,12.765999999999998,8.127,4.323
306,Regalito Rosticeria, Mexican, 3481 18th St. San Francisco, (415) 503-0650, 2    , 2    , 3    ,1.001,15.082,10.443,1.001
307,Roosevelt Tamale Parlor, Mexican, 2817 24th St. San Francisco, (415) 824-2600, 2    , 2    , 1    ,2.296,14.700999999999999,10.062000000000001,2.296
308,Tres , Mexican, 130 Townsend St. San Francisco, (415) 227-0500, 2    , 2    , 5    ,3.77,12.487,7.848,3.77
309,Tropisueno, Mexican, 75 Yerba Buena Lane San Francisco, (415) 243-0299, 2    , 2    , 2    ,2.784,13.492,8.853,2.784
310,Celia's Mexican Restaurant, Mexican, 4019 Judah St. San Francisco, (415) 564-0662, 2    , 1.5  , 2    ,4.248,19.641,15.002,4.248
311,San Jalisco , Mexican, 901 S Van Ness Ave San Francisco , (415) 648-8383, 2    , 4    , 2    ,1.444,14.619000000000002,9.98,1.444
312,Colibri Mexican Bistro, Mexican, 438 Geary St San Francisco, (415) 440-2737, 2    , 4    , 3    ,2.679,13.524000000000001,8.885,2.679
313,Gracias Madre, Mexican, 2211 Mission St San Francisco, (415) 683-1346, 2    , 4    , 3    ,1.12,15.013,10.374,1.12
314,Tia Margarita Mexican Restaurant, Mexican, 300 19th Ave San Francisco, (415) 752-9274, 2    , 3.5  , 2    ,4.17,18.503,13.864,4.17
315,Tropisueño, Mexican, 75 Yerba Buena Ln San Francisco, (415) 243-0299, 2    , 4    , 2    ,2.784,13.492,8.853,2.784
316,Papito, Mexican, 317 Connecticut St San Francisco, (415) 695-0147, 2    , 4    , 2    ,2.786,14.259,9.62,2.786
317,Nopalito, Mexican, 306 Broderick St San Francisco, (415) 437-0303, 2    , 4    , 2    ,1.197,15.527000000000001,10.888,1.197
318,El Toreador, Mexican, 50 W Portal Ave San Francisco, (415) 566-8104, 2    , 3.5  , 2    ,2.7939999999999996,20.148,15.509,2.7939999999999996
319,Don Pisto, Mexican, 510 Union St San Francisco, (415) 395-0939, 2    , 4    , 2    ,4.082,14.630999999999998,9.992,4.082
320,Mamacita, Mexican, 2317 Chestnut St San Francisco, (415) 346-8494, 3    , 3.5  , 3    ,3.045,16.027,11.388,3.045
321,Tommy's Restaurant, Mexican, 5929 Geary Blvd San Francisco, (415) 387-4747, 2    , 3.5  , 2    ,4.178,18.629,13.99,4.178
322,La Corneta Taqueria, Mexican, 2834 Diamond St San Francisco, (415) 469-8757, 1    , 4    , 2    ,2.34,18.152,13.513,2.34
323,Farallon, Seafood, 450 Post St. San Francisco, (415) 956-6969, 4    , 3.5  , 4    ,2.83,13.199000000000002,8.56,2.83
324,Local's Corner, Seafood, 2500 Bryant St. San Francisco, (415) 800-7945, 3    , 3    , 3    ,2.161,14.57,9.931000000000001,2.161
325,Nettie's Crab Shack, Seafood, 2032 Union St. San Francisco, (415) 409-0300, 2    , 3    , 3    ,3.227,15.347999999999999,10.709000000000001,3.227
326,Waterbar, Seafood, 399 The Embarcadero San Francisco, (415) 284-9922, 4    , 3    , 3    ,4.711,13.154000000000002,8.515,4.711
327,Anchor & Hope, Seafood, 83 Minna St. San Francisco, (415) 501-9100, 4    , 2.5  , 4    ,3.806,12.665999999999999,8.027000000000001,3.806
328,Anchor Oyster Bar, Seafood, 579 Castro St. San Francisco, (415) 431-3990, 3    , 2.5  , 3    ,0.155,15.620999999999999,10.982000000000001,0.155
329,Brindisi Cucina di Mare, Seafood, 88 Belden Place San Francisco, (415) 593-8000, 2    , 3.5  , 3    ,3.2560000000000002,12.952,8.312999999999999,3.2560000000000002
330,Plouf, Seafood, 40 Belden Place San Francisco, (415) 986-6491, 3    , 2.5  , 4    ,3.2680000000000002,13.062999999999999,8.424,3.2680000000000002
331,Skool, Seafood, 1725 Alameda St. San Francisco, (415) 255-8800, 3    , 2.5  , 4    ,2.459,13.593,8.954,2.459
332,Sutro's at the Cliff House, Seafood, 1090 Point Lobos San Francisco, (415) 386-3330, 4    , 2.5  , 3    ,1.92,14.23,9.591000000000001,1.92
333,Waterfront Restaurant and Cafe, Seafood, Pier 7 on the Embarcadero San Francisco, (415) 391-2696, 3    , 2.5  , 4    ,1.92,14.23,9.591000000000001,1.92
334,Woodhouse Fish Co., Seafood, 1914 Fillmore St. San Francisco, (415) 437-2722, 2    , 2.5  , 4    ,2.404,16.000999999999998,11.362,2.404
335,Alamo Square Seafood Grill, Seafood, 803 Fillmore St. San Francisco, (415) 440-2828, 2    , 2    , 4    ,1.6640000000000001,15.262,10.623,1.6640000000000001
336,Bar Crudo, Seafood, 655 Divisadero St. San Francisco, (415) 409-0679, 2    , 2    , 4    ,1.2690000000000001,15.599,10.96,1.2690000000000001
337,Franciscan Crab Restaurant, Seafood, Pier 43 1/2 San Francisco, (415) 362-7733, 2    , 2    , 3    ,4.448,14.727,10.088,4.448
338,Hayes Street Grill, Seafood, 320 Hayes St. San Francisco, (415) 863-5545, 3    , 2    , 3    ,1.694,15.107000000000001,10.468,1.694
339,Lot 7, Seafood, 974 Valencia St. San Francisco, (415) 817-1212, 3    , 2    , 4    ,1.274,15.418,10.779000000000002,1.274
340,Pacific Catch, Seafood, 1200 Ninth Avenue San Francisco, (415) 504-6905, 2    , 2    , 3    ,2.227,17.262,12.623,2.227
341,Scoma's, Seafood, 1 Al Scoma Way San Francisco, (415) 771-4383, 3    , 2    , 3    ,4.25,14.89,10.251,4.25
342,Sotto Mare, Seafood, 552 Green St. San Francisco, (415) 398-3181, 3    , 2    , 4    ,3.99,13.515999999999998,8.877,3.99
343,Swan Oyster Depot, Seafood, 1517 Polk St. San Francisco, (415) 673-1101, 2    , 2    , 3    ,2.7310000000000003,13.869000000000002,9.23,2.7310000000000003
344,The Old Clam House, Seafood, 299 Bayshore Blvd. San Francisco, (415) 826-4880, 2    , 2    , 3    ,2.85,15.339,10.7,2.85
345,Woodhouse Fish Company, Seafood, 2073 Market St. San Francisco, (415) 437-2722, 2    , 2    , 1    ,0.872,14.91,10.270999999999999,0.872
346,Yabbies Coastal Kitchen, Seafood, 2237 Polk St. San Francisco, (415) 474-4088, 3    , 2    , 4    ,3.1919999999999997,14.687000000000001,10.048,3.1919999999999997
347,Beach Chalet, Seafood, 1000 Great Hwy. San Francisco, (415) 386-8439, 2    , 1.5  , 4    ,5.51,19.843,15.204,5.51
348,Blue Mermaid Chowder House and Bar, Seafood, 471 Jefferson St. San Francisco, (415) 771-2222, 2    , 1.5  , 4    ,4.074,14.860999999999999,10.222000000000001,4.074
349,Crab House at Pier 39, Seafood, Pier 39 San Francisco, (415) 434-0432, 2    , 1    , 3    ,4.448,14.727,10.088,4.448
350,Anchor Oyster Bar, Seafood, 579 Castro St San Francisco, (415) 431-3990, 3    , 3.5  , 2    ,0.155,15.620999999999999,10.982000000000001,0.155
351,Swan Oyster Depot, Seafood, 1517 Polk St San Francisco, (415) 673-1101, 2    , 4    , 3    ,2.7310000000000003,13.869000000000002,9.23,2.7310000000000003
352,Hog Island Oyster Co, Seafood, 1 Ferry Bldg San Francisco, (415) 391-7117, 2    , 3.5  , 2    ,3.9389999999999996,12.387,7.747999999999999,3.9389999999999996
353,Woodhouse Fish Company, Seafood, 2073 Market St San Francisco, (415) 437-2722, 2    , 3.5  , 2    ,0.872,14.91,10.270999999999999,0.872
354,Woodhouse Fish Co., Seafood, 1914 Fillmore St San Francisco, (415) 437-2722, 2    , 3.5  , 3    ,2.404,16.000999999999998,11.362,2.404
355,Mission Street Oyster Bar, Seafood, 2282 Mission St San Francisco, (415) 621-6987, 2    , 3.5  , 2    ,1.188,15.081,10.442,1.188
356,Farallon, Seafood, 450 Post St San Francisco, (415) 956-6969, 4    , 3.5  , 1    ,2.83,13.199000000000002,8.56,2.83
357,Tadich Grill, Seafood, 240 California St San Francisco, (415) 391-1849, 3    , 3.5  , 1    ,3.281,12.745,8.106,3.281
358,Pacific Cafe, Seafood, 7000 Geary Blvd San Francisco, (415) 387-7091, 2    , 3.5  , 3    ,5.155,19.488,14.849,5.155
359,Swamp, Seafood, 5423 Geary Blvd San Francisco, (415) 876-2828, 2    , 3.5  , 2    ,3.884,18.213,13.574000000000002,3.884
360,Pacific Catch, Seafood, 2027 Chestnut St San Francisco, (415) 440-1950, 2    , 3.5  , 2    ,3.3080000000000003,15.764000000000001,11.125,3.3080000000000003
361,1601 Bar & Kitchen, Italian, 1601 Howard St. San Francisco, (415) 552-1601, 2    , 2.5  , 3    ,1.705,14.548,9.908999999999999,1.705
362,Absinthe, Italian, 398 Hayes St. San Francisco, (415) 551-1590, 4    , 3    , 3    ,1.626,15.039000000000001,10.4,1.626
363,Aquitaine, Italian, 175 Sutter St. San Francisco, (415) 402-5290, 3    , 2.5  , 3    ,3.1260000000000003,12.913,8.274,3.1260000000000003
364,Atelier Crenn, Italian, 3127 Fillmore St. San Francisco, (415) 440-0460, 4    , 2.5  , 3    ,3.1630000000000003,15.919,11.28,3.1630000000000003
365,Baker Street Bistro, Italian, 2953 Baker St. San Francisco, (415) 931-1475, 2    , 2    , 3    ,3.115,16.402,11.763,3.115
366,Bistro Central Parc, Italian, 560 Central Ave. San Francisco, (415) 931-7272, 3    , 2    , 4    ,1.796,16.17,11.530999999999999,1.796
367,Cafe Bastille, Italian, 22 Belden Place San Francisco, (415) 986-5673, 3    , 2    , 4    ,3.279,13.074000000000002,8.435,3.279
368,Cafe Jacqueline, Italian, 1454 Grant Ave. San Francisco, (415) 981-5565, 2    , 2.5  , 2    ,4.129,14.679,10.04,4.129
