Restaurant_name, Category, Address, Phone_number, rating, price, noise_level 
Rick's Restaurant & Bar, American, 1940 Taraval St. San Francisco, (415) 731-8900, 2    , 2    , 3    
Sauce, American, 131 Gough St. San Francisco, (415) 252-1369, 2    , 2    , 3    
Sea Breeze Cafe, American, 3940 Judah St. San Francisco, (415) 242-6022, 2    , 2    , 3    
Seaglass, American, Pier 15 San Francisco, (415) 528-4444, 2    , 2    , 4    
Sears Fine Foods, American, 439 Powell St. San Francisco, (415) 986-0700, 2    , 2    , 3    
Serpentine, American, 2495 Third St. San Francisco, (415) 252-2000, 3    , 2    , 4    
Solstice, American, 2801 California San Francisco, (415) 359-1222, 2    , 2    , 5    
St. Francis Fountain, American, 2801 24th St. San Francisco, (415) 826-4200, 1    , 2    , 4    
The Bell Tower, American, 1900 Polk St. San Francisco, (415) 567-9596, 2    , 2    , 3    
Mamacita, Mexican, 2317 Chestnut St. San Francisco, (415) 346-8494, 2    , 3    , 5    
Nopalito, Mexican, 306 Broderick St. San Francisco, (415) 437-0303, 2    , 3    , 3    
Nopalito, Mexican, 1224 Ninth Avenue San Francisco, (415) 233-9966, 2    , 3    , 3    
Padrecito, Mexican, 901 Cole St. San Francisco, (415) 742-5505, 2    , 3    , 5    
Don Pisto's, Mexican, 510 Union St. San Francisco, (415) 395-0939, 2    , 2.5  , 4    
La Taqueria, Mexican, 2889 Mission St. San Francisco, (415) 285-7117, 1    , 2.5  , 3    
La Urbana, Mexican, 661 Divisadero St. San Francisco, (415) 440-4500, 3    , 2.5  , 5    
Sabrosa Restaurant, Mexican, 3200 Fillmore St. San Francisco, (415) 638-6500, 3    , 2.5  , 5    
Tacolicious (Mission), Mexican, 741 Valencia St. San Francisco, (415) 626-1344, 2    , 2.5  , 3    
Chilango, Mexican, 235 Church St. San Francisco, (415) 552-5700, 2    , 2    , 2    
Colibri Mexican Bistro, Mexican, 438 Geary St. San Francisco, (415) 440-2737, 2    , 2    , 4    
Garaje, Mexican, 475 Third St. San Francisco, (415) 644-0838, 1    , 2    , 5    
Mexico DF, Mexican, 139 Steuart St. San Francisco, (415) 808-1048, 2    , 2    , 4    
Regalito Rosticeria, Mexican, 3481 18th St. San Francisco, (415) 503-0650, 2    , 2    , 3    
Roosevelt Tamale Parlor, Mexican, 2817 24th St. San Francisco, (415) 824-2600, 2    , 2    , 1    
Tres , Mexican, 130 Townsend St. San Francisco, (415) 227-0500, 2    , 2    , 5    
Tropisueno, Mexican, 75 Yerba Buena Lane San Francisco, (415) 243-0299, 2    , 2    , 2    
Celia's Mexican Restaurant, Mexican, 4019 Judah St. San Francisco, (415) 564-0662, 2    , 1.5  , 2    
San Jalisco , Mexican, 901 S Van Ness Ave San Francisco , (415) 648-8383, 2    , 4    , 2    
Colibri Mexican Bistro, Mexican, 438 Geary St San Francisco, (415) 440-2737, 2    , 4    , 3    
Gracias Madre, Mexican, 2211 Mission St San Francisco, (415) 683-1346, 2    , 4    , 3    
Tia Margarita Mexican Restaurant, Mexican, 300 19th Ave San Francisco, (415) 752-9274, 2    , 3.5  , 2    
Tropisueño, Mexican, 75 Yerba Buena Ln San Francisco, (415) 243-0299, 2    , 4    , 2    
Papito, Mexican, 317 Connecticut St San Francisco, (415) 695-0147, 2    , 4    , 2    
Nopalito, Mexican, 306 Broderick St San Francisco, (415) 437-0303, 2    , 4    , 2    
El Toreador, Mexican, 50 W Portal Ave San Francisco, (415) 566-8104, 2    , 3.5  , 2    
Don Pisto, Mexican, 510 Union St San Francisco, (415) 395-0939, 2    , 4    , 2    
Mamacita, Mexican, 2317 Chestnut St San Francisco, (415) 346-8494, 3    , 3.5  , 3    
Tommy's Restaurant, Mexican, 5929 Geary Blvd San Francisco, (415) 387-4747, 2    , 3.5  , 2    
La Corneta Taqueria, Mexican, 2834 Diamond St San Francisco, (415) 469-8757, 1    , 4    , 2    
Farallon, Seafood, 450 Post St. San Francisco, (415) 956-6969, 4    , 3.5  , 4    
Local's Corner, Seafood, 2500 Bryant St. San Francisco, (415) 800-7945, 3    , 3    , 3    
Nettie's Crab Shack, Seafood, 2032 Union St. San Francisco, (415) 409-0300, 2    , 3    , 3    
Waterbar, Seafood, 399 The Embarcadero San Francisco, (415) 284-9922, 4    , 3    , 3    
Anchor & Hope, Seafood, 83 Minna St. San Francisco, (415) 501-9100, 4    , 2.5  , 4    
Anchor Oyster Bar, Seafood, 579 Castro St. San Francisco, (415) 431-3990, 3    , 2.5  , 3    
Brindisi Cucina di Mare, Seafood, 88 Belden Place San Francisco, (415) 593-8000, 2    , 3.5  , 3    
Plouf, Seafood, 40 Belden Place San Francisco, (415) 986-6491, 3    , 2.5  , 4    
Skool, Seafood, 1725 Alameda St. San Francisco, (415) 255-8800, 3    , 2.5  , 4    
Sutro's at the Cliff House, Seafood, 1090 Point Lobos San Francisco, (415) 386-3330, 4    , 2.5  , 3    
Waterfront Restaurant and Cafe, Seafood, Pier 7 on the Embarcadero San Francisco, (415) 391-2696, 3    , 2.5  , 4    
Woodhouse Fish Co., Seafood, 1914 Fillmore St. San Francisco, (415) 437-2722, 2    , 2.5  , 4    
Alamo Square Seafood Grill, Seafood, 803 Fillmore St. San Francisco, (415) 440-2828, 2    , 2    , 4    
Bar Crudo, Seafood, 655 Divisadero St. San Francisco, (415) 409-0679, 2    , 2    , 4    
Franciscan Crab Restaurant, Seafood, Pier 43 1/2 San Francisco, (415) 362-7733, 2    , 2    , 3    
Hayes Street Grill, Seafood, 320 Hayes St. San Francisco, (415) 863-5545, 3    , 2    , 3    
Lot 7, Seafood, 974 Valencia St. San Francisco, (415) 817-1212, 3    , 2    , 4    
Pacific Catch, Seafood, 1200 Ninth Avenue San Francisco, (415) 504-6905, 2    , 2    , 3    
Scoma's, Seafood, 1 Al Scoma Way San Francisco, (415) 771-4383, 3    , 2    , 3    
Sotto Mare, Seafood, 552 Green St. San Francisco, (415) 398-3181, 3    , 2    , 4    
Swan Oyster Depot, Seafood, 1517 Polk St. San Francisco, (415) 673-1101, 2    , 2    , 3    
The Old Clam House, Seafood, 299 Bayshore Blvd. San Francisco, (415) 826-4880, 2    , 2    , 3    
Woodhouse Fish Company, Seafood, 2073 Market St. San Francisco, (415) 437-2722, 2    , 2    , 1    
Yabbies Coastal Kitchen, Seafood, 2237 Polk St. San Francisco, (415) 474-4088, 3    , 2    , 4    
Beach Chalet, Seafood, 1000 Great Hwy. San Francisco, (415) 386-8439, 2    , 1.5  , 4    
Blue Mermaid Chowder House and Bar, Seafood, 471 Jefferson St. San Francisco, (415) 771-2222, 2    , 1.5  , 4    
Crab House at Pier 39, Seafood, Pier 39 San Francisco, (415) 434-0432, 2    , 1    , 3    
Anchor Oyster Bar, Seafood, 579 Castro St San Francisco, (415) 431-3990, 3    , 3.5  , 2    
Swan Oyster Depot, Seafood, 1517 Polk St San Francisco, (415) 673-1101, 2    , 4    , 3    
Hog Island Oyster Co, Seafood, 1 Ferry Bldg San Francisco, (415) 391-7117, 2    , 3.5  , 2    
Woodhouse Fish Company, Seafood, 2073 Market St San Francisco, (415) 437-2722, 2    , 3.5  , 2    
Woodhouse Fish Co., Seafood, 1914 Fillmore St San Francisco, (415) 437-2722, 2    , 3.5  , 3    
Mission Street Oyster Bar, Seafood, 2282 Mission St San Francisco, (415) 621-6987, 2    , 3.5  , 2    
Farallon, Seafood, 450 Post St San Francisco, (415) 956-6969, 4    , 3.5  , 1    
Tadich Grill, Seafood, 240 California St San Francisco, (415) 391-1849, 3    , 3.5  , 1    
Pacific Cafe, Seafood, 7000 Geary Blvd San Francisco, (415) 387-7091, 2    , 3.5  , 3    
Swamp, Seafood, 5423 Geary Blvd San Francisco, (415) 876-2828, 2    , 3.5  , 2    
Pacific Catch, Seafood, 2027 Chestnut St San Francisco, (415) 440-1950, 2    , 3.5  , 2    
1601 Bar & Kitchen, Italian, 1601 Howard St. San Francisco, (415) 552-1601, 2    , 2.5  , 3    
Absinthe, Italian, 398 Hayes St. San Francisco, (415) 551-1590, 4    , 3    , 3    
Aquitaine, Italian, 175 Sutter St. San Francisco, (415) 402-5290, 3    , 2.5  , 3    
Atelier Crenn, Italian, 3127 Fillmore St. San Francisco, (415) 440-0460, 4    , 2.5  , 3    
Baker Street Bistro, Italian, 2953 Baker St. San Francisco, (415) 931-1475, 2    , 2    , 3    
Bistro Central Parc, Italian, 560 Central Ave. San Francisco, (415) 931-7272, 3    , 2    , 4    
Cafe Bastille, Italian, 22 Belden Place San Francisco, (415) 986-5673, 3    , 2    , 4    
Cafe Jacqueline, Italian, 1454 Grant Ave. San Francisco, (415) 981-5565, 2    , 2.5  , 2    
